The ability to account for medium layering, internal heating, and phase change due to moisture freezing and thawing is verified against a commercial software GeoStudio. For the verification, the effects of convection (natural and forced) and longwave radiations are neglected. This is the only difference with the presented thermal formulation. Eleven days of measured shortwave radiation serve for the heat flux imposed at the surface. Presented hereafter is the worst case in terms of absolute difference in temperature levels between GeoStudio and the thermal formulation. This case is presented in the form of a table essentially consisting of four columns: the time (in days), the surface temperature calculated with GeoStudio (in degrees Celsius), the surface temperature calculated with the thermal formulation (in degrees Celsius), and for each time step the absolute difference of temperature levels between Geostudio and the thermal formulation. 

Time [days]	Surface temperature with GeoStudio [°C]	Surface temperature with Fortran [°C]	Absolute difference [°C]
10.313	9.091	9.133	0.043
10.316	9.076	9.119	0.043
10.319	9.062	9.105	0.043
10.323	9.048	9.091	0.043
10.326	9.034	9.078	0.043
10.330	9.021	9.064	0.043
10.333	9.008	9.051	0.043
10.337	8.995	9.039	0.043
10.340	8.983	9.027	0.044
10.344	8.971	9.016	0.045
10.347	8.959	9.005	0.045
10.351	8.948	8.994	0.046
10.354	8.937	8.984	0.047
10.358	8.927	8.974	0.047
10.361	8.917	8.965	0.048
10.365	8.908	8.956	0.048
10.368	8.899	8.947	0.048
10.372	8.890	8.938	0.048
10.375	8.883	8.930	0.048
10.378	8.875	8.923	0.048
10.382	8.869	8.917	0.049
10.385	8.863	8.913	0.049
10.389	8.858	8.908	0.050
10.392	8.853	8.905	0.051
10.396	8.850	8.902	0.052
10.399	8.847	8.900	0.053
10.403	8.844	8.898	0.053
10.406	8.843	8.896	0.054
10.410	8.842	8.896	0.054
10.413	8.842	8.895	0.054
10.417	8.843	8.896	0.053
10.420	8.844	8.897	0.053
10.424	8.846	8.899	0.053
10.427	8.849	8.902	0.053
10.431	8.853	8.906	0.053
10.434	8.858	8.911	0.053
10.438	8.863	8.916	0.053
10.441	8.869	8.922	0.053
10.444	8.875	8.928	0.053
10.448	8.883	8.936	0.053
10.451	8.890	8.943	0.053
10.455	8.898	8.951	0.053
10.458	8.907	8.960	0.053
10.462	8.916	8.969	0.053
10.465	8.925	8.979	0.053
10.469	8.935	8.989	0.053
10.472	8.945	8.999	0.054
10.476	8.956	9.010	0.054
10.479	8.967	9.021	0.055
10.483	8.978	9.033	0.055
10.486	8.990	9.045	0.056
10.490	9.002	9.058	0.056
10.493	9.015	9.071	0.056
10.497	9.028	9.084	0.056
10.500	9.042	9.098	0.056
10.503	9.057	9.113	0.057
10.507	9.072	9.131	0.059
10.510	9.089	9.149	0.061
10.514	9.106	9.169	0.063
10.517	9.124	9.189	0.065
10.521	9.144	9.211	0.067
10.524	9.164	9.233	0.069
10.528	9.186	9.256	0.070
10.531	9.209	9.280	0.071
10.535	9.233	9.305	0.071
10.538	9.259	9.330	0.071
10.542	9.287	9.356	0.069
10.545	9.316	9.385	0.069
10.549	9.346	9.416	0.070
10.552	9.379	9.450	0.071
10.556	9.413	9.485	0.072
10.559	9.449	9.522	0.073
10.563	9.487	9.560	0.073
10.566	9.526	9.600	0.074
10.569	9.567	9.641	0.074
10.573	9.609	9.683	0.074
10.576	9.653	9.726	0.073
10.580	9.697	9.770	0.073
10.583	9.743	9.816	0.072
10.587	9.790	9.862	0.072
10.590	9.838	9.908	0.070
10.594	9.886	9.956	0.069
10.597	9.936	10.004	0.068
10.601	9.985	10.052	0.067
10.604	10.036	10.102	0.066
10.608	10.087	10.152	0.065
10.611	10.139	10.203	0.065
10.615	10.191	10.255	0.065
10.618	10.243	10.308	0.065
10.622	10.296	10.361	0.065
10.625	10.349	10.415	0.066
10.628	10.403	10.471	0.068
10.632	10.457	10.528	0.071
10.635	10.511	10.586	0.074
10.639	10.566	10.644	0.078
10.642	10.622	10.704	0.082
10.646	10.679	10.765	0.086
10.649	10.737	10.827	0.090
10.653	10.796	10.890	0.093
10.656	10.858	10.953	0.095
10.660	10.921	11.018	0.096
10.663	10.987	11.083	0.095
10.667	11.056	11.149	0.093
10.670	11.128	11.219	0.090
10.674	11.204	11.292	0.089
10.677	11.282	11.369	0.086
10.681	11.364	11.448	0.083
10.684	11.449	11.528	0.079
10.688	11.536	11.611	0.075
10.691	11.626	11.696	0.070
10.694	11.716	11.782	0.066
10.698	11.808	11.870	0.062
10.701	11.899	11.959	0.060
10.705	11.990	12.051	0.061
10.708	12.079	12.143	0.064
10.712	12.165	12.228	0.062
10.715	12.249	12.304	0.055
10.719	12.329	12.376	0.047
10.722	12.405	12.444	0.040
10.726	12.477	12.510	0.033
10.729	12.546	12.573	0.028
10.733	12.610	12.635	0.025
10.736	12.671	12.694	0.023
10.740	12.729	12.752	0.023
10.743	12.783	12.808	0.025
10.747	12.835	12.863	0.028
10.750	12.884	12.917	0.033
10.753	12.932	12.967	0.035
10.757	12.977	13.012	0.035
10.760	13.021	13.055	0.033
10.764	13.064	13.095	0.030
10.767	13.105	13.132	0.027
10.771	13.144	13.168	0.024
10.774	13.182	13.202	0.020
10.778	13.217	13.234	0.018
10.781	13.249	13.265	0.016
10.785	13.279	13.294	0.015
10.788	13.305	13.321	0.017
10.792	13.327	13.347	0.020
10.795	13.345	13.367	0.022
10.799	13.359	13.380	0.022
10.802	13.368	13.389	0.022
10.806	13.373	13.395	0.022
10.809	13.373	13.397	0.024
10.813	13.370	13.396	0.026
10.816	13.363	13.392	0.029
10.819	13.353	13.385	0.032
10.823	13.342	13.376	0.034
10.826	13.328	13.364	0.037
10.830	13.313	13.351	0.037
10.833	13.298	13.334	0.036
10.837	13.284	13.321	0.037
10.840	13.270	13.311	0.041
10.844	13.258	13.302	0.044
10.847	13.248	13.294	0.046
10.851	13.239	13.286	0.047
10.854	13.231	13.278	0.047
10.858	13.223	13.270	0.046
10.861	13.217	13.262	0.045
10.865	13.211	13.253	0.043
10.868	13.204	13.245	0.041
10.872	13.196	13.236	0.040
10.875	13.187	13.227	0.040
10.878	13.175	13.212	0.037
10.882	13.161	13.192	0.031
10.885	13.143	13.168	0.025
10.889	13.123	13.141	0.018
10.892	13.098	13.112	0.013
10.896	13.071	13.080	0.009
10.899	13.039	13.046	0.006
10.903	13.005	13.009	0.005
10.906	12.967	12.971	0.004
10.910	12.926	12.931	0.005
10.913	12.882	12.889	0.007
10.917	12.835	12.845	0.010
10.920	12.786	12.800	0.014
10.924	12.734	12.752	0.018
10.927	12.681	12.702	0.022
10.931	12.626	12.651	0.025
10.934	12.569	12.598	0.029
10.938	12.511	12.544	0.033
10.941	12.452	12.488	0.036
10.944	12.392	12.430	0.038
10.948	12.331	12.371	0.040
10.951	12.270	12.311	0.040
10.955	12.209	12.249	0.040
10.958	12.148	12.185	0.037
10.962	12.087	12.125	0.037
10.965	12.027	12.067	0.040
10.969	11.968	12.010	0.043
10.972	11.909	11.954	0.046
10.976	11.851	11.899	0.048
10.979	11.793	11.844	0.050
10.983	11.737	11.789	0.052
10.986	11.681	11.734	0.053
10.990	11.627	11.679	0.053
10.993	11.572	11.624	0.052
10.997	11.519	11.569	0.051
11.000	11.465	11.514	0.049

The maximal absolute difference remains below 0.13°C. The Pearson correlation coefficient is 1.000 when rounded to the third digit.
